Fri Apr 25 12:31:31 2025


Number of Points = 8421

Depth (nm)	Load (µN)	Time (s)
50.167881	1897.976995	0.000000
49.980699	1921.092612	0.005005
50.118539	1850.749147	0.010010
50.124034	1870.003685	0.015014
49.836135	1918.849097	0.020019
49.813024	1874.568914	0.025024
49.599511	1869.491810	0.030029
49.422893	1895.234814	0.035034
49.348975	1826.453652	0.040038
48.882970	1809.446862	0.045043
48.855787	1840.200939	0.050048
48.607830	1723.244336	0.055053
48.100412	1726.146617	0.060058
47.745578	1641.775198	0.065062
47.326899	1689.711975	0.070067
47.010138	1636.160029	0.075072
46.519076	1654.855000	0.080077
45.956036	1527.657266	0.085082
45.518908	1473.382074	0.090086
45.143883	1521.140890	0.095091
44.563906	1410.173672	0.100096
44.042525	1392.083417	0.105101
43.508418	1339.833231	0.110106
42.782574	1353.107187	0.115110
42.295056	1269.997238	0.120115
41.623264	1221.928013	0.125120
41.059412	1184.483892	0.130125
40.127409	1151.410871	0.135130
39.479445	1088.651113	0.140134
38.836087	1050.808079	0.145139
38.049985	987.518890	0.150144
37.365886	934.919397	0.155149
36.571019	885.313936	0.160154
35.659225	862.519966	0.165158
34.995272	781.049972	0.170163
34.362989	651.350423	0.175168
33.358470	687.255250	0.180173
32.659564	622.472089	0.185178
31.986219	552.794738	0.190182
31.037117	494.548031	0.195187
30.068765	509.920161	0.200192
29.245553	481.509483	0.205197
28.426360	434.293594	0.210202
27.477122	394.550477	0.215206
26.470201	343.226392	0.220211
25.578610	312.559000	0.225216
24.498205	235.916839	0.230221
23.596728	209.750300	0.235226
22.639985	169.321167	0.240230
21.611790	199.169917	0.245235
20.435088	83.475255	0.250240
19.381747	151.753875	0.255245
18.211189	74.967357	0.260250
17.375974	14.453843	0.265254
16.229171	41.811848	0.270259
15.105889	11.749197	0.275264
13.728166	-35.665638	0.280269
12.631692	24.584611	0.285274
11.688207	-38.159671	0.290278
10.449453	-2.427527	0.295283
9.087798	-21.886806	0.300288
7.902508	-18.092218	0.305293
6.834950	-34.193066	0.310298
5.608049	-24.546723	0.315302
4.352966	-27.906727	0.320307
3.386166	5.879758	0.325312
1.966138	11.056354	0.330317
0.911357	-54.318614	0.335322
-0.069846	-13.587181	0.340326
-1.204566	-65.743902	0.345331
-2.208712	34.437327	0.350336
-3.560546	-60.765207	0.355341
-4.332347	-38.707386	0.360346
-5.508011	-84.386149	0.365350
-6.661809	-69.553062	0.370355
-7.872790	-10.717387	0.375360
-8.865692	-54.616299	0.380365
-10.103815	21.390996	0.385370
-10.855681	-16.413286	0.390374
-11.898392	9.444032	0.395379
-13.072803	14.738355	0.400384
-14.114317	-38.927997	0.405389
-15.171841	-16.097302	0.410394
-16.129170	-27.637677	0.415398
-17.376712	12.081282	0.420403
-18.554559	36.982047	0.425408
-19.329953	-34.512702	0.430413
-20.515036	-44.548135	0.435418
-21.384152	-47.073526	0.440422
-22.434056	-26.024249	0.445427
-23.699490	35.047323	0.450432
-24.588522	-30.032685	0.455437
-25.540910	-11.659520	0.460442
-26.630807	-13.872419	0.465446
-27.727997	-5.346962	0.470451
-28.858362	-12.081082	0.475456
-29.825868	-48.522183	0.480461
-30.664447	-15.705856	0.485466
-31.690797	-28.438022	0.490470
-32.601964	-47.898584	0.495475
-33.826239	-16.643343	0.500480
-34.845156	19.791628	0.505485
-35.865477	0.455542	0.510490
-36.831005	-13.261722	0.515494
-38.024677	-25.022928	0.520499
-38.793791	-48.389776	0.525504
-39.795333	-35.061005	0.530509
-41.166690	4.712358	0.535514
-41.938367	-2.718935	0.540518
-42.891270	-104.619791	0.545523
-43.932052	-71.058827	0.550528
-44.839414	-1.965330	0.555533
-45.946326	-29.114206	0.560538
-46.961746	-1.512127	0.565542
-48.157504	16.680186	0.570547
-48.837898	-75.115478	0.575552
-49.826313	8.549551	0.580557
-50.986570	-23.053551	0.585562
-52.030300	-47.279771	0.590566
-53.023015	7.348538	0.595571
-53.872157	-19.348594	0.600576
-55.112962	-38.221806	0.605581
-56.014044	37.133372	0.610586
-56.932317	26.068557	0.615590
-58.052987	0.177087	0.620595
-59.072896	-54.260397	0.625600
-60.046598	-18.003493	0.630605
-60.885773	8.198776	0.635610
-61.888421	-95.313760	0.640614
-63.027679	-22.258587	0.645619
-64.150172	-40.758258	0.650624
-65.074888	-71.851891	0.655629
-65.958142	-21.331898	0.660634
-67.141983	-11.975252	0.665638
-68.200347	-18.257403	0.670643
-69.055327	-32.963867	0.675648
-70.008343	0.054093	0.680653
-70.937410	-45.619838	0.685658
-72.166533	-13.172659	0.690662
-73.188619	-23.175098	0.695667
-74.128493	16.164743	0.700672
-75.345658	-29.712627	0.705677
-75.958097	-29.844008	0.710682
-77.115369	-10.674891	0.715686
-77.987665	-38.529106	0.720691
-79.226648	-49.635860	0.725696
-80.069950	-61.477454	0.730701
-81.379145	11.998560	0.735706
-82.201750	-18.891509	0.740710
-83.040511	-68.278820	0.745715
-84.159192	-25.396094	0.750720
-85.316994	6.288005	0.755725
-86.000689	-35.635335	0.760730
-87.226540	-9.026875	0.765734
-88.014947	1.624530	0.770739
-88.898505	7.334727	0.775744
-89.956621	20.820665	0.780749
-90.957167	-84.320977	0.785754
-92.194384	-35.836131	0.790758
-93.060499	24.787781	0.795763
-94.213807	20.454484	0.800768
-95.302141	-69.061083	0.805773
-96.041070	-9.094032	0.810778
-97.257080	-29.603892	0.815782
-98.164460	30.094436	0.820787
-99.346371	-43.868293	0.825792
-100.241907	4.012773	0.830797
-100.959160	-22.515693	0.835802
-102.156834	-4.685742	0.840806
-103.119268	-29.515395	0.845811
-104.169565	21.173972	0.850816
-105.041598	-10.338206	0.855821
-106.111165	34.469891	0.860826
-106.924303	3.939999	0.865830
-108.111929	-21.778203	0.870835
-109.200098	6.024109	0.875840
-110.100043	18.642466	0.880845
-111.207524	31.506293	0.885850
-112.151220	-10.041068	0.890854
-113.338880	-21.265169	0.895859
-114.206307	-30.380067	0.900864
-115.179063	28.100189	0.905869
-116.230164	53.923296	0.910874
-117.180417	53.605459	0.915878
-118.308620	5.080062	0.920883
-119.226206	11.453300	0.925888
-120.456541	6.194098	0.930893
-121.161144	-34.055907	0.935898
-122.351541	28.268579	0.940902
-123.309549	-12.747735	0.945907
-124.259629	-54.743763	0.950912
-125.503595	-36.910602	0.955917
-126.254132	-67.674402	0.960922
-127.397929	-25.772644	0.965926
-128.476876	26.066493	0.970931
-129.223352	-54.695030	0.975936
-130.190934	-12.063532	0.980941
-131.228016	-41.803549	0.985946
-132.308700	-12.663263	0.990950
-133.197849	6.628570	0.995955
-134.200974	13.381531	1.000960
-135.192113	-2.268319	1.005965
-136.306175	-27.009000	1.010970
-137.144994	-50.552313	1.015974
-138.414294	23.098457	1.020979
-139.251478	-8.725980	1.025984
-140.136437	-22.570147	1.030989
-141.285001	-60.878642	1.035994
-142.218769	-88.085346	1.040998
-143.366917	-9.740308	1.046003
-144.242971	-41.200775	1.051008
-145.571908	11.762613	1.056013
-146.430824	-46.499448	1.061018
-147.212629	-60.365878	1.066022
-148.304871	-62.226552	1.071027
-149.550657	41.519345	1.076032
-150.315564	-32.684149	1.081037
-151.414123	-88.572613	1.086042
-152.314382	-9.747566	1.091046
-153.323931	21.473414	1.096051
-154.581535	5.838526	1.101056
-155.412754	-38.803193	1.106061
-156.403892	-8.465372	1.111066
-157.449092	57.255299	1.116070
-158.348143	4.819387	1.121075
-159.444079	-4.368435	1.126080
-160.486245	-1.761209	1.131085
-161.398145	49.858827	1.136090
-162.220636	-43.354057	1.141094
-163.210169	29.550900	1.146099
-164.222320	-28.408788	1.151104
-165.332558	-22.859689	1.156109
-166.472646	-25.718806	1.161114
-167.456060	31.374726	1.166118
-168.417553	34.230333	1.171123
-169.477332	0.714906	1.176128
-170.462645	5.382495	1.181133
-171.510676	39.460275	1.186138
-172.550646	20.407158	1.191142
-173.361929	-17.438943	1.196147
-174.374224	23.792334	1.201152
-175.313921	-28.617134	1.206157
-176.371649	25.444884	1.211162
-177.251835	-30.655172	1.216166
-178.423924	6.245563	1.221171
-179.312275	-22.542294	1.226176
-180.518785	17.564554	1.231181
-181.291583	-34.299969	1.236186
-182.467538	-3.398470	1.241190
-183.540154	-39.201895	1.246195
-184.409693	-36.803229	1.251200
-185.377032	24.894940	1.256205
-186.461821	27.378909	1.261210
-187.555188	52.414891	1.266214
-188.311927	-49.651770	1.271219
-189.588392	28.135669	1.276224
-190.189281	21.925005	1.281229
-191.058833	-26.211237	1.286234
-192.624474	-29.853358	1.291238
-193.609381	9.953136	1.296243
-194.643277	-84.190078	1.301248
-195.697590	-42.581348	1.306253
-196.700843	-51.186437	1.311258
-197.727469	-23.404543	1.316262
-198.603025	1.545265	1.321267
-199.806795	13.126739	1.326272
-200.527915	-33.443604	1.331277
-201.514997	1.152313	1.336282
-202.530988	10.728587	1.341286
-203.532561	-59.348201	1.346291
-204.581930	27.632664	1.351296
-205.634782	-16.595673	1.356301
-206.659129	33.534178	1.361306
-207.530191	-47.660859	1.366310
-208.521281	9.723486	1.371315
-209.699203	39.611148	1.376320
-210.577298	-14.222038	1.381325
-211.735973	13.817585	1.386330
-212.575434	46.985706	1.391334
-213.573194	5.381996	1.396339
-214.532847	-70.746993	1.401344
-215.497465	-36.133621	1.406349
-216.741263	-34.171975	1.411354
-217.698107	4.835902	1.416358
-218.545302	-6.540284	1.421363
-219.646691	26.879267	1.426368
-220.606891	-45.904811	1.431373
-221.423500	-35.368665	1.436378
-222.625432	-3.142812	1.441382
-223.667130	-28.157981	1.446387
-224.688491	-49.772590	1.451392
-225.404779	40.252602	1.456397
-226.575609	-54.169917	1.461402
-227.549974	18.792728	1.466406
-228.458259	7.963386	1.471411
-229.646170	11.810354	1.476416
-230.630829	-51.745307	1.481421
-231.732586	-25.416059	1.486426
-232.746385	0.582820	1.491430
-233.612868	-38.409313	1.496435
-234.694255	3.008402	1.501440
-235.665886	4.289320	1.506445
-236.395102	-93.689740	1.511450
-237.689584	9.308667	1.516454
-238.850503	-23.082221	1.521459
-239.715632	36.502078	1.526464
-240.918717	2.985446	1.531469
-241.725006	10.211008	1.536474
-242.862864	30.188753	1.541478
-243.693221	-4.606455	1.546483
-244.666900	-30.709329	1.551488
-245.700584	-52.419867	1.556493
-246.818117	28.145222	1.561498
-247.806720	14.800109	1.566502
-248.795338	-7.589651	1.571507
-249.673758	-5.738896	1.576512
-250.387889	-68.308572	1.581517
-251.278895	-66.716627	1.586522
-252.618207	-10.842885	1.591526
-253.701335	61.505383	1.596531
-254.732665	-4.139065	1.601536
-255.493489	-45.885235	1.606541
-256.624522	9.680091	1.611546
-257.717015	-19.075880	1.616550
-258.593135	-88.380395	1.621555
-259.687928	23.018980	1.626560
-260.835967	19.724633	1.631565
