Mon Apr 28 11:08:13 2025


Number of Points = 8430

Depth (nm)	Load (µN)	Time (s)
30.627542	1709.608610	0.000000
30.541317	1754.094507	0.005005
30.779510	1763.305982	0.010010
30.565921	1694.409266	0.015014
30.534208	1741.518516	0.020019
30.319700	1708.435763	0.025024
30.214940	1693.284585	0.030029
30.324627	1681.265109	0.035034
29.893743	1655.006586	0.040038
29.553859	1663.252926	0.045043
29.345141	1644.330906	0.050048
29.231021	1600.532254	0.055053
28.813723	1515.878413	0.060058
28.579591	1496.088752	0.065062
27.904096	1542.129920	0.070067
27.492000	1492.887018	0.075072
27.097950	1410.817670	0.080077
26.404439	1457.015134	0.085082
26.163439	1358.251339	0.090086
25.612827	1346.497483	0.095091
24.892341	1343.880716	0.100096
24.432311	1273.379997	0.105101
23.720986	1262.019750	0.110106
23.273821	1158.068847	0.115110
22.596777	1142.001127	0.120115
21.859259	1128.533801	0.125120
21.238037	1068.207111	0.130125
20.485736	994.514982	0.135130
19.848333	937.988371	0.140134
19.107056	904.600378	0.145139
18.347089	868.564287	0.150144
17.605341	848.499675	0.155149
16.819869	713.050506	0.160154
15.914361	754.999632	0.165158
15.317711	702.228642	0.170163
14.447585	598.414062	0.175168
13.728247	604.612221	0.180173
12.882328	630.087210	0.185178
11.924199	504.140313	0.190182
11.096819	483.492088	0.195187
10.241095	400.659590	0.200192
9.287526	359.131741	0.205197
8.202855	365.343256	0.210202
7.335379	321.168802	0.215206
6.306791	265.104682	0.220211
5.621151	205.579152	0.225216
4.492808	222.774397	0.230221
3.370436	171.613722	0.235226
2.492233	181.309990	0.240230
1.457054	113.503610	0.245235
0.285159	39.371356	0.250240
-0.581279	113.397655	0.255245
-1.715561	12.419482	0.260250
-2.991466	65.989608	0.265254
-3.879201	22.511514	0.270259
-5.153128	33.483786	0.275264
-6.327364	18.865864	0.280269
-7.473920	-59.832444	0.285274
-8.640468	9.301172	0.290278
-9.689217	-12.697452	0.295283
-11.001214	-15.347593	0.300288
-12.337588	0.604650	0.305293
-13.222286	-46.092247	0.310298
-14.491465	-47.279648	0.315302
-15.611957	-30.600594	0.320307
-16.620236	-20.809350	0.325312
-17.783735	-18.026448	0.330317
-18.889194	-33.594578	0.335322
-19.981143	-65.570064	0.340326
-21.388172	-10.627534	0.345331
-22.162665	-48.384747	0.350336
-23.236938	-4.876218	0.355341
-24.478126	-22.751440	0.360346
-25.456285	-69.678895	0.365350
-26.460990	-14.737547	0.370355
-27.717702	10.953800	0.375360
-28.590630	-56.369455	0.380365
-29.869788	-17.748549	0.385370
-30.640242	-0.288758	0.390374
-31.852904	-52.531864	0.395379
-32.746211	-19.828971	0.400384
-33.838733	-43.089481	0.405389
-34.965598	-29.588510	0.410394
-35.974087	-34.822511	0.415398
-37.071280	-8.146976	0.420403
-38.305286	-36.529852	0.425408
-39.380749	34.838834	0.430413
-40.086763	-63.143786	0.435418
-41.075297	-42.941673	0.440422
-42.186570	-38.110697	0.445427
-43.169284	-107.311526	0.450432
-44.128789	-44.848098	0.455437
-45.159497	-118.126719	0.460442
-46.255443	-0.472986	0.465446
-47.271501	-61.623829	0.470451
-48.106989	-12.087380	0.475456
-49.245550	-131.381497	0.480461
-50.318574	2.003372	0.485466
-51.492370	38.196546	0.490470
-52.235163	-69.802756	0.495475
-53.338174	-59.039564	0.500480
-54.331432	9.182921	0.505485
-55.426898	24.363536	0.510490
-56.429977	-29.053737	0.515494
-57.400783	-30.394057	0.520499
-58.388642	-53.890919	0.525504
-59.687400	-7.011642	0.530509
-60.582411	-20.198117	0.535514
-61.470319	-27.790076	0.540518
-62.309857	-62.882657	0.545523
-63.413122	-43.842849	0.550528
-64.433136	-29.376962	0.555533
-65.452834	0.352138	0.560538
