Thu Apr 24 13:14:18 2025


Number of Points = 8422

Depth (nm)	Load (µN)	Time (s)
44.954137	1919.299187	0.000000
45.237982	1916.185017	0.005005
45.421465	1918.630290	0.010010
45.314097	1925.006941	0.015014
44.780150	1936.137151	0.020019
45.286282	1900.695270	0.025024
45.076965	1904.762725	0.030029
44.882561	1870.243802	0.035034
44.783163	1915.925964	0.040038
44.253824	1855.893929	0.045043
43.967341	1783.338319	0.050048
43.999382	1760.033953	0.055053
43.692971	1750.901656	0.060058
42.896450	1762.094325	0.065062
42.841739	1742.991554	0.070067
42.485647	1641.840236	0.075072
41.837506	1661.554108	0.080077
41.613679	1519.397558	0.085082
41.097352	1542.638468	0.090086
40.712266	1484.727135	0.095091
40.077249	1393.569010	0.100096
39.377778	1419.439585	0.105101
39.027686	1302.023733	0.110106
38.505900	1268.066150	0.115110
37.857909	1245.014336	0.120115
36.914641	1243.249473	0.125120
36.583951	1123.560222	0.130125
35.872739	1161.149988	0.135130
34.849067	1104.304872	0.140134
34.465837	1049.890035	0.145139
33.768315	982.874851	0.150144
32.923605	885.436298	0.155149
32.142709	897.325009	0.160154
31.521760	801.666615	0.165158
30.717173	728.473204	0.170163
29.736117	664.285188	0.175168
28.928131	677.435803	0.180173
28.218703	598.973670	0.185178
27.274243	562.953113	0.190182
26.805735	458.925745	0.195187
25.900505	496.265846	0.200192
25.189794	390.390095	0.205197
23.632401	331.219392	0.210202
22.954247	267.608158	0.215206
21.924605	264.443926	0.220211
20.771814	271.594999	0.225216
19.859472	189.029864	0.230221
19.003520	261.134935	0.235226
17.845012	126.166197	0.240230
16.613739	91.332315	0.245235
15.840594	71.481082	0.250240
14.884515	78.867169	0.255245
13.503868	5.167053	0.260250
12.508806	-21.100203	0.265254
10.952433	-32.871570	0.270259
9.974879	-34.537032	0.275264
8.722316	53.486690	0.280269
7.574335	50.086421	0.285274
6.506825	-53.700731	0.290278
5.047080	10.222959	0.295283
4.031396	-12.215930	0.300288
3.102134	-24.785473	0.305293
1.901195	-37.965949	0.310298
0.755999	-37.432889	0.315302
-0.634426	-25.629266	0.320307
-1.729456	11.334901	0.325312
-2.908946	1.931130	0.330317
-3.919177	-20.910468	0.335322
-4.804954	-44.532817	0.340326
-6.292968	-86.372121	0.345331
-6.892158	-2.212744	0.350336
-7.874990	-29.298377	0.355341
-8.865845	-33.703235	0.360346
-10.618362	-9.725433	0.365350
-12.014523	34.869499	0.370355
-12.822696	2.137436	0.375360
-13.723721	-18.134478	0.380365
-14.864118	-37.712500	0.385370
-15.756173	-32.176980	0.390374
-16.466473	-52.637828	0.395379
-17.744049	-28.317417	0.400384
-19.107051	2.985338	0.405389
-19.921778	42.249137	0.410394
-20.951126	43.733443	0.415398
-22.121975	-33.932947	0.420403
-23.087804	-12.272579	0.425408
-24.355865	-6.611447	0.430413
-25.124015	-19.021674	0.435418
-25.807580	10.650936	0.440422
-27.365780	22.673662	0.445427
-27.935929	1.940466	0.450432
-29.105952	-16.011318	0.455437
-29.900976	-53.458635	0.460442
-31.425932	-12.291297	0.465446
-32.594159	-1.927376	0.470451
-33.697930	23.412651	0.475456
-34.637587	-36.012950	0.480461
-35.030666	-22.562607	0.485466
-36.376015	19.797765	0.490470
-37.539081	-68.896807	0.495475
-38.164972	-2.845828	0.500480
-38.933627	-37.846193	0.505485
-40.561032	4.746209	0.510490
-41.585912	-24.430142	0.515494
-42.268160	-8.377320	0.520499
-43.481930	0.623646	0.525504
-44.507680	38.416895	0.530509
-45.849134	16.237407	0.535514
-46.362139	-18.322131	0.540518
-47.647277	26.110596	0.545523
-48.672974	-14.379456	0.550528
-49.804733	23.161027	0.555533
-50.412204	24.917998	0.560538
-51.528874	23.750341	0.565542
-52.393055	53.884360	0.570547
-53.911218	38.692677	0.575552
-54.771538	15.124626	0.580557
-55.735771	-57.799205	0.585562
-56.760784	28.858127	0.590566
-57.644319	-1.831330	0.595571
-58.511849	6.026630	0.600576
-59.741637	-28.606589	0.605581
-60.579459	65.769066	0.610586
-61.642012	-36.515828	0.615590
-62.519463	-39.542516	0.620595
-63.559454	13.065161	0.625600
-64.443737	-31.782113	0.630605
-65.618652	16.961523	0.635610
-66.593505	17.851483	0.640614
-67.500542	-3.032130	0.645619
-68.515281	17.492096	0.650624
-69.502903	-31.918884	0.655629
-70.435064	-5.608669	0.660634
-71.861036	80.531390	0.665638
-72.803580	18.174934	0.670643
-73.222820	-25.537198	0.675648
-74.939863	-33.345093	0.680653
-75.707564	20.412050	0.685658
-76.550234	33.899982	0.690662
-77.703079	29.549567	0.695667
-78.646249	-23.760335	0.700672
-79.682226	-26.107509	0.705677
-81.063258	-25.357377	0.710682
-81.858110	-7.249590	0.715686
-82.744323	51.972457	0.720691
-83.786076	2.579564	0.725696
-84.789910	-36.752324	0.730701
-85.594256	82.570644	0.735706
-86.940462	-0.524674	0.740710
-87.472211	15.001874	0.745715
-88.768228	24.456582	0.750720
-89.498568	-26.255646	0.755725
-90.710605	-0.240204	0.760730
-91.459160	29.717439	0.765734
-92.838954	4.694401	0.770739
-93.460243	31.915707	0.775744
-94.614073	8.445956	0.780749
-95.551791	39.995437	0.785754
